week_start,week_end,sign,category,forecast,stars
2025-09-29,2025-10-05,Libra,Overall,"Across the week, Libra overall invites reflection. Notice joy in detail. Pause for five breaths. Midweek shifts your focus; by the weekend reflection steadies progress. Balance arrives through small steps. Each one steadies the path.",3
2025-09-29,2025-10-05,Scorpio,Love & Relationships,"By the weekend, Scorpio love & relationships invites reflection. Offer help before asked. Write a kind note. Midweek shifts your focus; by the weekend reflection steadies progress. Love matures in small acts. Each quiet step builds devotion.",3
2025-09-29,2025-10-05,Scorpio,Career & Work,"By midweek, Scorpio career & work invites reflection. Praise a teammate. Finish a draft. Create order in one folder. Midweek shifts your focus; by the weekend reflection steadies progress. Results echo longer than ambition. Quiet effort defines your work.",3
2025-09-29,2025-10-05,Scorpio,Finance & Money,"As the week opens, Scorpio finance & money invites reflection. Set aside a small saving. Plan meals for savings. Wait before buying. Midweek shifts your focus; by the weekend reflection steadies progress. Money decisions ripple. Calm choices build lasting stability.",4
2025-09-29,2025-10-05,Scorpio,Health & Wellness,"Across the week, Scorpio health & wellness invites reflection. Stretch slowly. Thank your body. Sleep earlier. Midweek shifts your focus; by the weekend reflection steadies progress. Health grows in rhythm. Gentle care multiplies resilience.",3
2025-09-29,2025-10-05,Scorpio,Overall,"Early in the week, Scorpio overall invites reflection. Clean one surface. Pause for five breaths. Notice joy in detail. Midweek shifts your focus; by the weekend reflection steadies progress. Clarity comes slowly. Trust patience to reveal direction.",2
2025-09-29,2025-10-05,Sagittarius,Love & Relationships,"As the week opens, Sagittarius love & relationships invites reflection. Listen fully. Offer help before asked. Midweek shifts your focus; by the weekend reflection steadies progress. Patience waters closeness. Over time this grows into trust.",3
2025-09-29,2025-10-05,Sagittarius,Career & Work,"Across the week, Sagittarius career & work invites reflection. Decline one meeting. Create order in one folder. Praise a teammate. Midweek shifts your focus; by the weekend reflection steadies progress. Results echo longer than ambition. Quiet effort defines your work.",2
2025-09-29,2025-10-05,Sagittarius,Finance & Money,"Early in the week, Sagittarius finance & money invites reflection. Review a subscription. Set aside a small saving. Midweek shifts your focus; by the weekend reflection steadies progress. Money decisions ripple. Calm choices build lasting stability.",3
2025-09-29,2025-10-05,Sagittarius,Health & Wellness,"As the week opens, Sagittarius health & wellness invites reflection. Choose water over sugar. Walk outside. Stretch slowly. Midweek shifts your focus; by the weekend reflection steadies progress. Health grows in rhythm. Gentle care multiplies resilience.",5
2025-09-29,2025-10-05,Sagittarius,Overall,"By the weekend, Sagittarius overall invites reflection. Say no gracefully. Notice joy in detail. Midweek shifts your focus; by the weekend reflection steadies progress. Clarity comes slowly. Trust patience to reveal direction.",3
2025-09-29,2025-10-05,Capricorn,Love & Relationships,"Early in the week, Capricorn love & relationships invites reflection. Cook a meal together. Listen fully. Midweek shifts your focus; by the weekend reflection steadies progress. Patience waters closeness. Over time this grows into trust.",4
2025-09-29,2025-10-05,Capricorn,Career & Work,"By the weekend, Capricorn career & work invites reflection. Clarify a goal. Finish a draft. Midweek shifts your focus; by the weekend reflection steadies progress. Results echo longer than ambition. Quiet effort defines your work.",4
2025-09-29,2025-10-05,Capricorn,Finance & Money,"Across the week, Capricorn finance & money invites reflection. Plan meals for savings. Review a subscription. Midweek shifts your focus; by the weekend reflection steadies progress. Savings stack quietly. Each pause protects tomorrow.",3
2025-09-29,2025-10-05,Capricorn,Health & Wellness,"Late in the week, Capricorn health & wellness invites reflection. Thank your body. Choose water over sugar. Midweek shifts your focus; by the weekend reflection steadies progress. Health grows in rhythm. Gentle care multiplies resilience.",2
2025-09-29,2025-10-05,Capricorn,Overall,"Across the week, Capricorn overall invites reflection. Pause for five breaths. Say no gracefully. Set one small goal. Midweek shifts your focus; by the weekend reflection steadies progress. Balance arrives through small steps. Each one steadies the path.",4
2025-09-29,2025-10-05,Aquarius,Love & Relationships,"By the weekend, Aquarius love & relationships invites reflection. Leave space for silence. Offer help before asked. Listen fully. Midweek shifts your focus; by the weekend reflection steadies progress. Patience waters closeness. Over time this grows into trust.",4
2025-09-29,2025-10-05,Aquarius,Career & Work,"By midweek, Aquarius career & work invites reflection. Clarify a goal. Create order in one folder. Midweek shifts your focus; by the weekend reflection steadies progress. Consistency builds progress. Each delivery strengthens your standing.",3
2025-09-29,2025-10-05,Aquarius,Finance & Money,"By the weekend, Aquarius finance & money invites reflection. Set aside a small saving. Plan meals for savings. Wait before buying. Midweek shifts your focus; by the weekend reflection steadies progress. Money decisions ripple. Calm choices build lasting stability.",4
2025-09-29,2025-10-05,Aquarius,Health & Wellness,"Early in the week, Aquarius health & wellness invites reflection. Thank your body. Choose water over sugar. Midweek shifts your focus; by the weekend reflection steadies progress. Strength hides in care. Each act echoes for years.",4
2025-09-29,2025-10-05,Aquarius,Overall,"Early in the week, Aquarius overall invites reflection. Notice joy in detail. Say no gracefully. Clean one surface. Midweek shifts your focus; by the weekend reflection steadies progress. Balance arrives through small steps. Each one steadies the path.",4
2025-09-29,2025-10-05,Pisces,Love & Relationships,"By midweek, Pisces love & relationships invites reflection. Cook a meal together. Leave space for silence. Offer help before asked. Midweek shifts your focus; by the weekend reflection steadies progress. Patience waters closeness. Over time this grows into trust.",4
2025-09-29,2025-10-05,Pisces,Career & Work,"Under a new weekly rhythm, Pisces career & work invites reflection. Praise a teammate. Finish a draft. Decline one meeting. Midweek shifts your focus; by the weekend reflection steadies progress. Results echo longer than ambition. Quiet effort defines your work.",4
2025-09-29,2025-10-05,Pisces,Finance & Money,"As the week opens, Pisces finance & money invites reflection. Set aside a small saving. Think of money as protection. Midweek shifts your focus; by the weekend reflection steadies progress. Savings stack quietly. Each pause protects tomorrow.",4
2025-09-29,2025-10-05,Pisces,Health & Wellness,"Late in the week, Pisces health & wellness invites reflection. Walk outside. Thank your body. Midweek shifts your focus; by the weekend reflection steadies progress. Strength hides in care. Each act echoes for years.",2
2025-09-29,2025-10-05,Pisces,Overall,"Late in the week, Pisces overall invites reflection. Pause for five breaths. Set one small goal. Midweek shifts your focus; by the weekend reflection steadies progress. Clarity comes slowly. Trust patience to reveal direction.",5
2025-10-06,2025-10-12,Aries,Love & Relationships,"Early in the week, Aries love & relationships invites reflection. Leave space for silence. Offer help before asked. Listen fully. Midweek shifts your focus; by the weekend reflection steadies progress. Love matures in small acts. Each quiet step builds devotion.",4
2025-10-06,2025-10-12,Aries,Career & Work,"By midweek, Aries career & work invites reflection. Clarify a goal. Praise a teammate. Midweek shifts your focus; by the weekend reflection steadies progress. Results echo longer than ambition. Quiet effort defines your work.",5
2025-10-06,2025-10-12,Aries,Finance & Money,"Under a new weekly rhythm, Aries finance & money invites reflection. Wait before buying. Plan meals for savings. Midweek shifts your focus; by the weekend reflection steadies progress. Savings stack quietly. Each pause protects tomorrow.",4
2025-10-06,2025-10-12,Aries,Health & Wellness,"By the weekend, Aries health & wellness invites reflection. Stretch slowly. Thank your body. Midweek shifts your focus; by the weekend reflection steadies progress. Health grows in rhythm. Gentle care multiplies resilience.",5
2025-10-06,2025-10-12,Aries,Overall,"Under a new weekly rhythm, Aries overall invites reflection. Notice joy in detail. Pause for five breaths. Say no gracefully. Midweek shifts your focus; by the weekend reflection steadies progress. Balance arrives through small steps. Each one steadies the path.",2
2025-10-06,2025-10-12,Taurus,Love & Relationships,"As the week opens, Taurus love & relationships invites reflection. Listen fully. Offer help before asked. Cook a meal together. Midweek shifts your focus; by the weekend reflection steadies progress. Love matures in small acts. Each quiet step builds devotion.",2
2025-10-06,2025-10-12,Taurus,Career & Work,"Late in the week, Taurus career & work invites reflection. Create order in one folder. Decline one meeting. Midweek shifts your focus; by the weekend reflection steadies progress. Results echo longer than ambition. Quiet effort defines your work.",4
2025-10-06,2025-10-12,Taurus,Finance & Money,"By midweek, Taurus finance & money invites reflection. Set aside a small saving. Review a subscription. Midweek shifts your focus; by the weekend reflection steadies progress. Money decisions ripple. Calm choices build lasting stability.",4
2025-10-06,2025-10-12,Taurus,Health & Wellness,"Across the week, Taurus health & wellness invites reflection. Thank your body. Stretch slowly. Midweek shifts your focus; by the weekend reflection steadies progress. Health grows in rhythm. Gentle care multiplies resilience.",4
2025-10-06,2025-10-12,Taurus,Overall,"Early in the week, Taurus overall invites reflection. Notice joy in detail. Clean one surface. Set one small goal. Midweek shifts your focus; by the weekend reflection steadies progress. Clarity comes slowly. Trust patience to reveal direction.",4
2025-10-06,2025-10-12,Gemini,Love & Relationships,"Early in the week, Gemini love & relationships invites reflection. Offer help before asked. Listen fully. Midweek shifts your focus; by the weekend reflection steadies progress. Patience waters closeness. Over time this grows into trust.",2
2025-10-06,2025-10-12,Gemini,Career & Work,"By midweek, Gemini career & work invites reflection. Create order in one folder. Praise a teammate. Clarify a goal. Midweek shifts your focus; by the weekend reflection steadies progress. Consistency builds progress. Each delivery strengthens your standing.",4
2025-10-06,2025-10-12,Gemini,Finance & Money,"Early in the week, Gemini finance & money invites reflection. Review a subscription. Wait before buying. Set aside a small saving. Midweek shifts your focus; by the weekend reflection steadies progress. Savings stack quietly. Each pause protects tomorrow.",2
2025-10-06,2025-10-12,Gemini,Health & Wellness,"As the week opens, Gemini health & wellness invites reflection. Thank your body. Walk outside. Midweek shifts your focus; by the weekend reflection steadies progress. Health grows in rhythm. Gentle care multiplies resilience.",3
2025-10-06,2025-10-12,Gemini,Overall,"Late in the week, Gemini overall invites reflection. Set one small goal. Pause for five breaths. Say no gracefully. Midweek shifts your focus; by the weekend reflection steadies progress. Balance arrives through small steps. Each one steadies the path.",5
2025-10-06,2025-10-12,Cancer,Love & Relationships,"As the week opens, Cancer love & relationships invites reflection. Offer help before asked. Leave space for silence. Midweek shifts your focus; by the weekend reflection steadies progress. Patience waters closeness. Over time this grows into trust.",5
2025-10-06,2025-10-12,Cancer,Career & Work,"Late in the week, Cancer career & work invites reflection. Clarify a goal. Decline one meeting. Finish a draft. Midweek shifts your focus; by the weekend reflection steadies progress. Consistency builds progress. Each delivery strengthens your standing.",5
2025-10-06,2025-10-12,Cancer,Finance & Money,"Late in the week, Cancer finance & money invites reflection. Review a subscription. Set aside a small saving. Midweek shifts your focus; by the weekend reflection steadies progress. Savings stack quietly. Each pause protects tomorrow.",4
2025-10-06,2025-10-12,Cancer,Health & Wellness,"Late in the week, Cancer health & wellness invites reflection. Thank your body. Sleep earlier. Stretch slowly. Midweek shifts your focus; by the weekend reflection steadies progress. Strength hides in care. Each act echoes for years.",5
2025-10-06,2025-10-12,Cancer,Overall,"By midweek, Cancer overall invites reflection. Set one small goal. Clean one surface. Pause for five breaths. Midweek shifts your focus; by the weekend reflection steadies progress. Balance arrives through small steps. Each one steadies the path.",4
2025-10-06,2025-10-12,Leo,Love & Relationships,"By midweek, Leo love & relationships invites reflection. Offer help before asked. Listen fully. Cook a meal together. Midweek shifts your focus; by the weekend reflection steadies progress. Patience waters closeness. Over time this grows into trust.",3
2025-10-06,2025-10-12,Leo,Career & Work,"By the weekend, Leo career & work invites reflection. Clarify a goal. Finish a draft. Create order in one folder. Midweek shifts your focus; by the weekend reflection steadies progress. Results echo longer than ambition. Quiet effort defines your work.",3
2025-10-06,2025-10-12,Leo,Finance & Money,"As the week opens, Leo finance & money invites reflection. Wait before buying. Set aside a small saving. Midweek shifts your focus; by the weekend reflection steadies progress. Money decisions ripple. Calm choices build lasting stability.",3
2025-10-06,2025-10-12,Leo,Health & Wellness,"By midweek, Leo health & wellness invites reflection. Thank your body. Sleep earlier. Walk outside. Midweek shifts your focus; by the weekend reflection steadies progress. Health grows in rhythm. Gentle care multiplies resilience.",4
2025-10-06,2025-10-12,Leo,Overall,"Across the week, Leo overall invites reflection. Say no gracefully. Pause for five breaths. Notice joy in detail. Midweek shifts your focus; by the weekend reflection steadies progress. Balance arrives through small steps. Each one steadies the path.",2
2025-10-06,2025-10-12,Virgo,Love & Relationships,"By midweek, Virgo love & relationships invites reflection. Cook a meal together. Offer help before asked. Listen fully. Midweek shifts your focus; by the weekend reflection steadies progress. Love matures in small acts. Each quiet step builds devotion.",3
2025-10-06,2025-10-12,Virgo,Career & Work,"As the week opens, Virgo career & work invites reflection. Finish a draft. Decline one meeting. Midweek shifts your focus; by the weekend reflection steadies progress. Results echo longer than ambition. Quiet effort defines your work.",3
2025-10-06,2025-10-12,Virgo,Finance & Money,"By midweek, Virgo finance & money invites reflection. Review a subscription. Wait before buying. Plan meals for savings. Midweek shifts your focus; by the weekend reflection steadies progress. Savings stack quietly. Each pause protects tomorrow.",3
2025-10-06,2025-10-12,Virgo,Health & Wellness,"As the week opens, Virgo health & wellness invites reflection. Walk outside. Sleep earlier. Midweek shifts your focus; by the weekend reflection steadies progress. Strength hides in care. Each act echoes for years.",2
2025-10-06,2025-10-12,Virgo,Overall,"Late in the week, Virgo overall invites reflection. Set one small goal. Pause for five breaths. Midweek shifts your focus; by the weekend reflection steadies progress. Clarity comes slowly. Trust patience to reveal direction.",2
2025-10-06,2025-10-12,Libra,Love & Relationships,"Early in the week, Libra love & relationships invites reflection. Write a kind note. Leave space for silence. Offer help before asked. Midweek shifts your focus; by the weekend reflection steadies progress. Patience waters closeness. Over time this grows into trust.",5
2025-10-06,2025-10-12,Libra,Career & Work,"By midweek, Libra career & work invites reflection. Decline one meeting. Praise a teammate. Midweek shifts your focus; by the weekend reflection steadies progress. Results echo longer than ambition. Quiet effort defines your work.",3
2025-10-06,2025-10-12,Libra,Finance & Money,"As the week opens, Libra finance & money invites reflection. Set aside a small saving. Plan meals for savings. Midweek shifts your focus; by the weekend reflection steadies progress. Money decisions ripple. Calm choices build lasting stability.",4
2025-10-06,2025-10-12,Libra,Health & Wellness,"By the weekend, Libra health & wellness invites reflection. Choose water over sugar. Stretch slowly. Sleep earlier. Midweek shifts your focus; by the weekend reflection steadies progress. Strength hides in care. Each act echoes for years.",2
2025-10-06,2025-10-12,Libra,Overall,"As the week opens, Libra overall invites reflection. Say no gracefully. Clean one surface. Set one small goal. Midweek shifts your focus; by the weekend reflection steadies progress. Balance arrives through small steps. Each one steadies the path.",3
2025-10-06,2025-10-12,Scorpio,Love & Relationships,"Under a new weekly rhythm, Scorpio love & relationships invites reflection. Cook a meal together. Listen fully. Leave space for silence. Midweek shifts your focus; by the weekend reflection steadies progress. Love matures in small acts. Each quiet step builds devotion.",4
2025-10-06,2025-10-12,Scorpio,Career & Work,"Across the week, Scorpio career & work invites reflection. Praise a teammate. Decline one meeting. Midweek shifts your focus; by the weekend reflection steadies progress. Consistency builds progress. Each delivery strengthens your standing.",5
2025-10-06,2025-10-12,Scorpio,Finance & Money,"Late in the week, Scorpio finance & money invites reflection. Plan meals for savings. Think of money as protection. Wait before buying. Midweek shifts your focus; by the weekend reflection steadies progress. Money decisions ripple. Calm choices build lasting stability.",4
2025-10-06,2025-10-12,Scorpio,Health & Wellness,"Across the week, Scorpio health & wellness invites reflection. Thank your body. Choose water over sugar. Stretch slowly. Midweek shifts your focus; by the weekend reflection steadies progress. Strength hides in care. Each act echoes for years.",5
2025-10-06,2025-10-12,Scorpio,Overall,"Late in the week, Scorpio overall invites reflection. Notice joy in detail. Say no gracefully. Pause for five breaths. Midweek shifts your focus; by the weekend reflection steadies progress. Balance arrives through small steps. Each one steadies the path.",4
2025-10-06,2025-10-12,Sagittarius,Love & Relationships,"By the weekend, Sagittarius love & relationships invites reflection. Offer help before asked. Listen fully. Midweek shifts your focus; by the weekend reflection steadies progress. Love matures in small acts. Each quiet step builds devotion.",3
2025-10-06,2025-10-12,Sagittarius,Career & Work,"By midweek, Sagittarius career & work invites reflection. Clarify a goal. Decline one meeting. Midweek shifts your focus; by the weekend reflection steadies progress. Results echo longer than ambition. Quiet effort defines your work.",3
2025-10-06,2025-10-12,Sagittarius,Finance & Money,"Under a new weekly rhythm, Sagittarius finance & money invites reflection. Wait before buying. Think of money as protection. Review a subscription. Midweek shifts your focus; by the weekend reflection steadies progress. Money decisions ripple. Calm choices build lasting stability.",4
2025-10-06,2025-10-12,Sagittarius,Health & Wellness,"Late in the week, Sagittarius health & wellness invites reflection. Sleep earlier. Thank your body. Choose water over sugar. Midweek shifts your focus; by the weekend reflection steadies progress. Strength hides in care. Each act echoes for years.",2
2025-10-06,2025-10-12,Sagittarius,Overall,"Across the week, Sagittarius overall invites reflection. Say no gracefully. Pause for five breaths. Set one small goal. Midweek shifts your focus; by the weekend reflection steadies progress. Clarity comes slowly. Trust patience to reveal direction.",3
2025-10-06,2025-10-12,Capricorn,Love & Relationships,"As the week opens, Capricorn love & relationships invites reflection. Cook a meal together. Write a kind note. Midweek shifts your focus; by the weekend reflection steadies progress. Patience waters closeness. Over time this grows into trust.",2
2025-10-06,2025-10-12,Capricorn,Career & Work,"Under a new weekly rhythm, Capricorn career & work invites reflection. Create order in one folder. Clarify a goal. Praise a teammate. Midweek shifts your focus; by the weekend reflection steadies progress. Consistency builds progress. Each delivery strengthens your standing.",3
2025-10-06,2025-10-12,Capricorn,Finance & Money,"Under a new weekly rhythm, Capricorn finance & money invites reflection. Review a subscription. Think of money as protection. Plan meals for savings. Midweek shifts your focus; by the weekend reflection steadies progress. Savings stack quietly. Each pause protects tomorrow.",5
2025-10-06,2025-10-12,Capricorn,Health & Wellness,"Under a new weekly rhythm, Capricorn health & wellness invites reflection. Sleep earlier. Thank your body. Midweek shifts your focus; by the weekend reflection steadies progress. Health grows in rhythm. Gentle care multiplies resilience.",3
2025-10-06,2025-10-12,Capricorn,Overall,"Early in the week, Capricorn overall invites reflection. Say no gracefully. Notice joy in detail. Clean one surface. Midweek shifts your focus; by the weekend reflection steadies progress. Balance arrives through small steps. Each one steadies the path.",2
2025-10-06,2025-10-12,Aquarius,Love & Relationships,"As the week opens, Aquarius love & relationships invites reflection. Leave space for silence. Write a kind note. Listen fully. Midweek shifts your focus; by the weekend reflection steadies progress. Patience waters closeness. Over time this grows into trust.",2
2025-10-06,2025-10-12,Aquarius,Career & Work,"Early in the week, Aquarius career & work invites reflection. Create order in one folder. Praise a teammate. Clarify a goal. Midweek shifts your focus; by the weekend reflection steadies progress. Results echo longer than ambition. Quiet effort defines your work.",5
2025-10-06,2025-10-12,Aquarius,Finance & Money,"Across the week, Aquarius finance & money invites reflection. Think of money as protection. Wait before buying. Midweek shifts your focus; by the weekend reflection steadies progress. Savings stack quietly. Each pause protects tomorrow.",4
2025-10-06,2025-10-12,Aquarius,Health & Wellness,"Across the week, Aquarius health & wellness invites reflection. Choose water over sugar. Sleep earlier. Thank your body. Midweek shifts your focus; by the weekend reflection steadies progress. Health grows in rhythm. Gentle care multiplies resilience.",3
2025-10-06,2025-10-12,Aquarius,Overall,"By the weekend, Aquarius overall invites reflection. Set one small goal. Clean one surface. Notice joy in detail. Midweek shifts your focus; by the weekend reflection steadies progress. Balance arrives through small steps. Each one steadies the path.",4
2025-10-06,2025-10-12,Pisces,Love & Relationships,"As the week opens, Pisces love & relationships invites reflection. Write a kind note. Offer help before asked. Midweek shifts your focus; by the weekend reflection steadies progress. Love matures in small acts. Each quiet step builds devotion.",3
2025-10-06,2025-10-12,Pisces,Career & Work,"Late in the week, Pisces career & work invites reflection. Clarify a goal. Create order in one folder. Decline one meeting. Midweek shifts your focus; by the weekend reflection steadies progress. Results echo longer than ambition. Quiet effort defines your work.",3
2025-10-06,2025-10-12,Pisces,Finance & Money,"By the weekend, Pisces finance & money invites reflection. Review a subscription. Plan meals for savings. Think of money as protection. Midweek shifts your focus; by the weekend reflection steadies progress. Savings stack quietly. Each pause protects tomorrow.",4
2025-10-06,2025-10-12,Pisces,Health & Wellness,"By the weekend, Pisces health & wellness invites reflection. Stretch slowly. Thank your body. Choose water over sugar. Midweek shifts your focus; by the weekend reflection steadies progress. Strength hides in care. Each act echoes for years.",4
2025-10-06,2025-10-12,Pisces,Overall,"As the week opens, Pisces overall invites reflection. Clean one surface. Notice joy in detail. Set one small goal. Midweek shifts your focus; by the weekend reflection steadies progress. Balance arrives through small steps. Each one steadies the path.",2
2025-10-13,2025-10-19,Aries,Love & Relationships,"By the weekend, Aries love & relationships invites reflection. Leave space for silence. Write a kind note. Midweek shifts your focus; by the weekend reflection steadies progress. Patience waters closeness. Over time this grows into trust.",5
